Meas Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm²),Temperature Model,Amp,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s²),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm²/s) (I),Peak Radius(nm) (I),Peak Diameter(nm) (I),Peak Pd(nm) (I),Peak %Pd (I),Peak Pd Index (I),Peak Mw-R(kDa) (I),Peak %Intensity (I),Peak %Mass (I)
1,Meas 1,OK,2020-01-28,17:19:23,1.9e+008,25,0.00812,1.33e+005,779,100,0,1.33e+005,779,25,5,1,0.863,0.054,0.054,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12e+003,Aqueous,0.611,8.17e-007,2.95,5.9,0.458,15.5,0.155,42.2,1,12.8,2.6e+004,1.05e+004,0.00155,100%,5,5,0,1.94e+004,2,2,,,,,1,4.54e-006,0.531,1.06,0.0263,4.96,0.00246,0.765,3.49,90.6
1,Meas 1,OK,2020-01-28,17:19:23,1.9e+008,25,0.00812,1.33e+005,779,100,0,1.33e+005,779,25,5,1,0.863,0.054,0.054,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12e+003,Aqueous,0.611,8.17e-007,2.95,5.9,0.458,15.5,0.155,42.2,1,12.8,2.6e+004,1.05e+004,0.00155,100%,5,5,0,1.94e+004,2,2,,,,,2,6.95e-007,3.47,6.94,0.324,9.34,0.00873,61.8,96.5,9.45
2,Meas 2,OK,2020-01-28,17:19:59,1.9e+008,25,0.00261,1.31e+005,942,100,0,1.31e+005,942,25,5,1,0.863,0.0541,0.054,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12e+003,Aqueous,0.613,8.23e-007,2.93,5.86,0.417,14.2,0.142,41.6,1,18,2.62e+004,9.95e+003,0.00169,100%,5,5,0,1.94e+004,3,2,,,,,1,7.17e-007,3.36,6.72,0.394,11.7,0.0138,57.3,100,100
2,Meas 2,OK,2020-01-28,17:19:59,1.9e+008,25,0.00261,1.31e+005,942,100,0,1.31e+005,942,25,5,1,0.863,0.0541,0.054,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12e+003,Aqueous,0.613,8.23e-007,2.93,5.86,0.417,14.2,0.142,41.6,1,18,2.62e+004,9.95e+003,0.00169,100%,5,5,0,1.94e+004,3,2,,,,,2,1.93e-008,125,250,0,0,0,2.71e+005,0.00325,1.67e-005
3,Meas 3,OK,2020-01-28,17:20:36,1.9e+008,25,0.00217,1.31e+005,354,100,0,1.31e+005,354,25,5,1,0.864,0.0538,0.0537,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12e+003,Aqueous,0.619,8.25e-007,2.92,5.84,0.455,15.6,0.156,41.3,1,16.2,2.62e+004,1.06e+004,0.00178,100%,5,5,0,1.93e+004,4,2,,,,,1,7.42e-007,3.24,6.49,0.427,13.2,0.0173,52.9,97.5,100
3,Meas 3,OK,2020-01-28,17:20:36,1.9e+008,25,0.00217,1.31e+005,354,100,0,1.31e+005,354,25,5,1,0.864,0.0538,0.0537,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12e+003,Aqueous,0.619,8.25e-007,2.92,5.84,0.455,15.6,0.156,41.3,1,16.2,2.62e+004,1.06e+004,0.00178,100%,5,5,0,1.93e+004,4,2,,,,,2,1.04e-008,231,462,28.4,12.3,0.0151,1.14e+006,2.54,0.00777
4,Meas 4,OK,2020-01-28,17:21:13,1.9e+008,25,0.000122,1.31e+005,915,100,0,1.31e+005,915,25,5,1,0.864,0.0535,0.0534,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12e+003,Aqueous,0.616,8.39e-007,2.87,5.74,0.473,16.5,0.165,39.7,1,18.1,2.66e+004,1.12e+004,0.002,100%,5,5,0,1.92e+004,2,2,,,,,1,4.8e-006,0.502,1,0.0568,11.3,0.0128,0.671,3.66,92.3
4,Meas 4,OK,2020-01-28,17:21:13,1.9e+008,25,0.000122,1.31e+005,915,100,0,1.31e+005,915,25,5,1,0.864,0.0535,0.0534,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12e+003,Aqueous,0.616,8.39e-007,2.87,5.74,0.473,16.5,0.165,39.7,1,18.1,2.66e+004,1.12e+004,0.002,100%,5,5,0,1.92e+004,2,2,,,,,2,7.05e-007,3.42,6.84,0.361,10.6,0.0112,59.8,96.3,7.65
5,Meas 5,OK,2020-01-28,17:21:50,1.9e+008,25,0.0005,1.31e+005,644,100,0,1.31e+005,644,25,5,1,0.864,0.0538,0.0537,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12e+003,Aqueous,0.615,8.13e-007,2.96,5.93,0.408,13.8,0.138,42.8,1,13.4,2.59e+004,9.63e+003,0.00183,100%,5,5,0,1.93e+004,2,1,,,,,1,7.07e-007,3.41,6.82,0.368,10.8,0.0117,59.3,100,100
6,25.003C,OK,2020-01-28,17:22:28,1.9e+008,25,0.00188,1.3e+005,567,100,0,1.3e+005,567,51,0.25,1,0.865,0.0542,0.0541,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12e+003,Aqueous,0.62,8.28e-007,2.91,5.82,0.44,15.1,0.151,41,1,21.8,2.63e+004,1.04e+004,0.00182,100%,5,5,0,1.95e+004,2,1,,,,,1,7.21e-007,3.34,6.68,0.402,12,0.0145,56.6,100,100
7,25.050C,OK,2020-01-28,17:23:05,1.9e+008,25,0.0252,1.3e+005,735,100,0,1.3e+005,735,51,0.25,1,0.865,0.0547,0.0546,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.905,3.12e+003,Aqueous,0.622,8.27e-007,2.91,5.82,0.418,14.4,0.144,41,1,14,2.64e+004,1.01e+004,0.00162,100%,5,5,0,1.97e+004,2,1,,,,,1,7.25e-007,3.33,6.65,0.407,12.3,0.015,56,100,100
8,25.194C,OK,2020-01-28,17:23:44,1.9e+008,25.2,0.0413,1.32e+005,459,100,0,1.32e+005,459,51,0.25,1,0.865,0.0551,0.055,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.902,3.12e+003,Aqueous,0.623,8.31e-007,2.91,5.83,0.435,14.9,0.149,41.1,1,17.6,2.65e+004,1.04e+004,0.00187,100%,5,5,0,1.99e+004,2,1,,,,,1,7.08e-007,3.42,6.84,0.866,25.3,0.064,59.9,100,100
9,25.351C,OK,2020-01-28,17:24:21,1.9e+008,25.4,0.0396,1.32e+005,979,100,0,1.32e+005,979,51,0.25,1,0.866,0.0552,0.0552,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.899,3.12e+003,Aqueous,0.619,8.29e-007,2.94,5.87,0.425,14.5,0.145,41.9,1,17.7,2.64e+004,1.01e+004,0.00197,100%,5,5,0,1.99e+004,3,2,,,,,1,7.43e-007,3.28,6.55,0.661,20.2,0.0407,54.1,97.3,100
9,25.351C,OK,2020-01-28,17:24:21,1.9e+008,25.4,0.0396,1.32e+005,979,100,0,1.32e+005,979,51,0.25,1,0.866,0.0552,0.0552,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.899,3.12e+003,Aqueous,0.619,8.29e-007,2.94,5.87,0.425,14.5,0.145,41.9,1,17.7,2.64e+004,1.01e+004,0.00197,100%,5,5,0,1.99e+004,3,2,,,,,2,1.72e-008,142,284,19.3,13.6,0.0186,3.65e+005,2.7,0.00859
10,25.504C,OK,2020-01-28,17:24:59,1.9e+008,25.5,0.0387,1.34e+005,1.51e+003,100,0,1.34e+005,1.51e+003,51,0.25,1,0.866,0.0552,0.0551,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.896,3.12e+003,Aqueous,0.618,8.21e-007,2.97,5.94,0.414,13.9,0.139,43.1,1,12.1,2.62e+004,9.8e+003,0.00178,100%,5,5,0,1.99e+004,4,2,,,,,1,7.73e-007,3.16,6.32,0.432,13.7,0.0187,49.7,95.1,100
10,25.504C,OK,2020-01-28,17:24:59,1.9e+008,25.5,0.0387,1.34e+005,1.51e+003,100,0,1.34e+005,1.51e+003,51,0.25,1,0.866,0.0552,0.0551,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.896,3.12e+003,Aqueous,0.618,8.21e-007,2.97,5.94,0.414,13.9,0.139,43.1,1,12.1,2.62e+004,9.8e+003,0.00178,100%,5,5,0,1.99e+004,4,2,,,,,2,5.56e-008,43.9,87.7,3.96,9.02,0.00814,2.34e+004,4.95,0.00299
